Year,Target,Value_USD_M,Sector,Era,Leader,Outcome,Country
2000,Tetley Tea,431,FMCG,Ratan Tata,Ratan Tata,Success — Made Tata Global Beverages a global player,UK
2001,CMC Ltd (merged with TCS),78,IT,Ratan Tata,Ratan Tata,Success — Strengthened TCS domestic business,India
2004,VSNL (now Tata Communications),130,Telecom,Ratan Tata,Ratan Tata,Success — Global submarine cable network acquired,India
2005,NatSteel Asia,486,Steel,Ratan Tata,Ratan Tata,Success — Expanded Asian steel footprint,Singapore
2005,Millennium Steel (Thailand),175,Steel,Ratan Tata,Ratan Tata,Success — SE Asia steel capacity added,Thailand
2007,Corus Steel,12100,Steel,Ratan Tata,Ratan Tata,Mixed — Overpaid; restructured post-2016,UK/Netherlands
2008,Jaguar Land Rover,2300,Automotive,Ratan Tata,Ratan Tata,Boom — From near-bankrupt to profit engine by 2015,UK
2009,Orient-Express Hotels (stake),211,Hospitality,Ratan Tata,Ratan Tata,Success — Evolved into IHCL global luxury portfolio,Global
2013,AirAsia India (JV),30,Aviation,Ratan Tata,Ratan Tata,Mixed — Shut down and merged into Air India Express,India
2017,Welspun Renewables,1400,Energy,N. Chandrasekaran,N. Chandrasekaran,Success — Tata Power clean energy portfolio boost,India
2018,Bhushan Steel (via NCLT),5380,Steel,N. Chandrasekaran,N. Chandrasekaran,Success — Renamed Tata Steel BSL; capacity expanded,India
2021,BigBasket (68% stake),1000,E-commerce,N. Chandrasekaran,N. Chandrasekaran,Growth — Integrated into Tata Digital super-app,India
2021,1mg (55% stake),250,Healthtech,N. Chandrasekaran,N. Chandrasekaran,Growth — Health vertical for Tata Neu,India
2021,CureFit (minority stake),75,Healthtech,N. Chandrasekaran,N. Chandrasekaran,Growth — Fitness vertical for Tata ecosystem,India
2022,Air India + Air India Express,2300,Aviation,N. Chandrasekaran,N. Chandrasekaran,Turnaround — Fleet renewal + Vistara merger completed,India
2023,Kaleyra (Tata Communications),100,Telecom,N. Chandrasekaran,N. Chandrasekaran,Growth — CPaaS capabilities added,USA
2024,Capital Foods (Ching's Secret),610,FMCG,N. Chandrasekaran,N. Chandrasekaran,Growth — Strengthens TATA Consumer portfolio,India
2024,Pegatron India Plant (iPhone assembly),600,Electronics,N. Chandrasekaran,N. Chandrasekaran,Strategic — Tata Electronics becomes Apple supplier,India
