Initiative,Category,Year,Investment_INR_Cr,Investment_USD_B,Partner,Status,Details,Impact
Dholera Semiconductor Fab,Semiconductor,2024,91000,11.0,PSMC (Taiwan),50% Construction Complete,"India's first 300mm commercial fab, 50K wafers/month, 28nm-110nm nodes",21000 jobs; chips for automotive AI power mgmt
ASML Lithography Partnership,Semiconductor,2026,0,0,ASML (Netherlands),MoU Signed,"Advanced lithography tools for Dholera fab, workforce training, R&D infra","Critical enabler for chip patterning; supply chain resilience"
OSAT Facility Jagiroad,Semiconductor,2024,27000,3.3,,Under Construction,"Outsourced Semiconductor Assembly & Test facility in Assam","Assembly and packaging capability; completes chip value chain"
Intel Strategic Alliance,Semiconductor,2025,0,0,Intel,Partnership Active,"Manufacturing/packaging Intel products at Tata facilities; AI PC solutions","Access to Intel IP; AI PC market in India"
Apple iPhone Assembly,Electronics,2024,5000,0.6,Apple,Operational,"Hosur & Bangalore plants assembling iPhones; Pegatron plant acquired","India's largest electronics manufacturer; 65K+ employees"
OpenAI Partnership,AI,2026,0,0,OpenAI,Active,"ChatGPT Enterprise across Tata Group; OpenAI Codex for TCS engineering","AI-native operations across conglomerate; 1M youth skilling"
HyperVault AI Data Centers,AI Infrastructure,2026,18000,2.2,TPG (co-investor),Building,"100MW initial → 1GW roadmap; sovereign AI-ready liquid-cooled DCs","India's first large-scale AI-optimized data center"
AMD AI Infrastructure,AI Infrastructure,2026,0,0,AMD,Partnership Active,"High-density sustainable AI compute infrastructure","GPU-optimized data center design"
TCS AI Services Revenue,AI,2026,0,2.4,,Operational,"$2.4B annualized AI services revenue; 580+ AI projects in Q4 FY25","Every revenue stream to have AI component by 2028"
TCS GVIC Business Unit,AI,2026,0,0,,Launched Jun 2026,"AI-native Global Value & Innovation Centres; led by Soumen Roy","Transform enterprise GCCs into AI-led innovation hubs"
TCS Agentic AI Solutions,AI,2025,0,0,,Active,"150+ specialized AI solutions for BFSI supply chain manufacturing","Industry-specific AI agents matching human workforce"
Coastal Cloud Acquisition,AI,2025,0,0,,Completed,"Salesforce practice + agentic AI capabilities acquisition","Strengthens enterprise AI consulting"
Tata Power AI + Renewables,AI + Energy,2025,0,0,,Active,"AI-optimized grid management; smart EV charging network","Predictive maintenance; demand forecasting"
Tata Motors AI + EV,AI + Automotive,2025,0,0,,Active,"AI-driven autonomous features; connected vehicle platform","ADAS features in Nexon/Punch EVs"
