Ticker,Period,Start_Price,End_Price,CAGR_Pct
TATASTEEL,5Y,1116.0,198.75,-29.18
TATASTEEL,10Y,333.7,198.75,-5.05
TATASTEEL,15Y,568.6,198.75,-6.77
TATAPOWER,5Y,127.55,394.85,25.36
TATAPOWER,10Y,76.1,394.85,17.9
TATAPOWER,15Y,1236.2,394.85,-7.33
TATACOMM,5Y,1260.0,1958.1,9.22
TATACOMM,10Y,444.35,1958.1,15.99
TATACOMM,15Y,215.9,1958.1,15.83
TATACONSUM,5Y,708.0,1111.0,9.43
TATACONSUM,10Y,123.75,1111.0,24.54
TATACONSUM,15Y,96.0,1111.0,17.73
TATAINVEST,5Y,1174.8,650.0,-11.16
TATAINVEST,10Y,517.1,650.0,2.31
TATAINVEST,15Y,493.05,650.0,1.86
TATAMOTORS_PASS,5Y,345.05,380.4,1.97
TATAMOTORS_PASS,10Y,457.4,380.4,-1.83
TATAMOTORS_PASS,15Y,1017.0,380.4,-6.35
TCS,5Y,3216.0,2151.8,-7.72
TCS,10Y,2554.0,2151.8,-1.7
TCS,15Y,1190.0,2151.8,4.03
